8.275862e-04	7.204611e-04
7.798284e-04	2.651816e-04
1.024800e-03	1.134890e-03
6.402504e-04	8.027523e-04
8.374983e-04	2.679289e-04
7.338062e-04	6.103143e-04
1.206437e-03	1.313515e-03
1.180487e-03	6.649378e-04
1.496373e-03	8.587093e-04
1.514327e-03	1.177163e-03
1.504381e-03	1.307019e-03
1.733847e-03	1.816530e-03
1.862169e-03	1.362486e-03
2.031676e-03	2.187198e-03
2.104992e-03	1.545993e-03
2.062990e-03	2.191710e-03
2.351066e-03	3.523157e-03
2.927581e-03	3.128991e-03
2.692156e-03	3.029156e-03
3.059759e-03	3.531563e-03
3.179925e-03	3.213248e-03
3.745058e-03	3.600360e-03
3.873491e-03	4.930791e-03
4.152280e-03	4.392213e-03
4.504195e-03	4.599212e-03
4.964377e-03	5.071180e-03
5.917313e-03	5.847582e-03
6.273560e-03	6.500982e-03
7.468530e-03	7.916147e-03
7.655992e-03	7.830671e-03
9.209379e-03	8.926876e-03
1.068160e-02	8.830846e-03
1.225270e-02	1.156369e-02
1.337089e-02	1.422175e-02
1.596954e-02	1.795793e-02
1.613394e-02	1.955990e-02
1.613394e-02	1.955990e-02
